Time_s,RPM,Iq_A,Vbat_V,Tinv_C,Treg_C
21.1989248,134,0.002,19,26,26
21.2089248,144,0.002,19,26,26
21.2189248,127,0.002,19,26,26
21.21392,139,0.007,19,26,26
21.22392,128,0.007,19,26,26
21.23392,134,0.007,19,26,26
21.24392,139,0.007,19,26,26
21.25392,134,0.007,19,26,26
21.26392,138,0.007,19,26,26
21.27392,122,0.007,19,26,26
21.28392,134,0.007,19,26,26
21.29392,134,0.007,19,26,26
21.30392,144,0.007,19,26,26
21.3402224,133,0.003,19,26,26
21.3502224,131,0.003,19,26,26
21.3602224,144,0.003,19,26,26
21.3702224,134,0.003,19,26,26
21.3802224,136,0.003,19,26,26
21.3902224,123,0.003,19,26,26
21.4002224,137,0.003,19,26,26
21.4102224,134,0.003,19,26,26
21.4202224,141,0.003,19,26,26
21.4302224,131,0.003,19,26,26
21.5389034,146,-0.005,19,26,26
21.5489034,135,-0.005,19,26,26
21.5589034,134,-0.005,19,26,26
21.5689034,137,-0.005,19,26,26
21.5789034,126,-0.005,19,26,26
21.5889034,140,-0.005,19,26,26
21.5989034,127,-0.005,19,26,26
21.6089034,140,-0.005,19,26,26
21.6189034,139,-0.005,19,26,26
21.6289034,139,-0.005,19,26,26
21.6482227,118,0.006,19,26,26
21.6582227,135,0.006,19,26,26
21.6682227,135,0.006,19,26,26
21.6782227,142,0.006,19,26,26
21.6882227,129,0.006,19,26,26
21.6982227,132,0.006,19,26,26
21.7082227,135,0.006,19,26,26
21.7182227,131,0.006,19,26,26
21.7282227,142,0.006,19,26,26
21.7382227,132,0.006,19,26,26
21.7484476,139,-0.004,19,26,26
21.7584476,123,-0.004,19,26,26
21.7684476,134,-0.004,19,26,26
21.7784476,134,-0.004,19,26,26
21.7884476,142,-0.004,19,26,26
21.7984476,129,-0.004,19,26,26
21.8084476,139,-0.004,19,26,26
21.8184476,128,-0.004,19,26,26
21.8284476,134,-0.004,19,26,26
21.8384476,140,-0.004,19,26,26
21.7993624,134,-0.014,19,26,26
21.8093624,136,-0.014,19,26,26
21.8193624,122,-0.014,19,26,26
